topo,nodes,lr,batch_size,mixing_steps,local_steps,loss,comms
ring,5,0.01,2000,1,1,0.1424134597182274,120
ring,5,0.01,2000,1,1,0.11008833199739457,240
ring,5,0.01,2000,1,1,0.10032915323972702,360
ring,5,0.01,2000,1,1,0.09667436480522155,480
ring,5,0.01,2000,1,1,0.09472189247608186,600
ring,5,0.01,2000,1,1,0.09327615201473236,720
ring,5,0.01,2000,1,1,0.09200927764177323,840
ring,5,0.01,2000,1,1,0.09083053618669511,960
ring,5,0.01,2000,1,1,0.0897136777639389,1080
ring,5,0.01,2000,1,1,0.08864981681108475,1200
ring,5,0.01,2000,1,1,0.08763474822044373,1320
ring,5,0.01,2000,1,1,0.08666554689407349,1440
ring,5,0.01,2000,1,1,0.08573971539735795,1560
ring,5,0.01,2000,1,1,0.08485491424798966,1680
ring,5,0.01,2000,1,1,0.08400895893573762,1800
ring,5,0.01,2000,1,1,0.08319976776838303,1920
ring,5,0.01,2000,1,1,0.08242540508508683,2040
ring,5,0.01,2000,1,1,0.08168401718139649,2160
ring,5,0.01,2000,1,1,0.08097387701272965,2280
ring,5,0.01,2000,1,1,0.0802933529019356,2400
ring,5,0.01,2000,1,1,0.07964089661836624,2520
ring,5,0.01,2000,1,1,0.07901507019996644,2640
ring,5,0.01,2000,1,1,0.078414486348629,2760
ring,5,0.01,2000,1,1,0.07783787846565247,2880
ring,5,0.01,2000,1,1,0.07728401720523834,3000
ring,5,0.01,2000,1,1,0.0767517626285553,3120
ring,5,0.01,2000,1,1,0.07624004185199738,3240
ring,5,0.01,2000,1,1,0.07574782073497772,3360
ring,5,0.01,2000,1,1,0.07527413517236708,3480
ring,5,0.01,2000,1,1,0.07481809258460999,3600
ring,5,0.01,2000,1,1,0.07437882125377655,3720
ring,5,0.01,2000,1,1,0.07395552098751068,3840
ring,5,0.01,2000,1,1,0.07354741245508194,3960
ring,5,0.01,2000,1,1,0.07315378189086916,4080
ring,5,0.01,2000,1,1,0.07277394086122513,4200
ring,5,0.01,2000,1,1,0.07240724116563797,4320
ring,5,0.01,2000,1,1,0.07205306440591813,4440
ring,5,0.01,2000,1,1,0.07171084433794021,4560
ring,5,0.01,2000,1,1,0.07138002216815949,4680
