topo,nodes,lr,batch_size,mixing_steps,local_steps,loss,comms
ring,5,0.01,2000,1,1,0.15092874467372897,120
ring,5,0.01,2000,1,1,0.12628445625305176,240
ring,5,0.01,2000,1,1,0.11897874325513841,360
ring,5,0.01,2000,1,1,0.11568719893693924,480
ring,5,0.01,2000,1,1,0.11351489871740343,600
ring,5,0.01,2000,1,1,0.11170954555273056,720
ring,5,0.01,2000,1,1,0.11006146520376206,840
ring,5,0.01,2000,1,1,0.10851057916879654,960
ring,5,0.01,2000,1,1,0.10703755915164948,1080
ring,5,0.01,2000,1,1,0.10563437938690186,1200
ring,5,0.01,2000,1,1,0.1042961671948433,1320
ring,5,0.01,2000,1,1,0.10301904380321503,1440
ring,5,0.01,2000,1,1,0.10179953575134278,1560
ring,5,0.01,2000,1,1,0.10063440352678299,1680
ring,5,0.01,2000,1,1,0.09952059835195542,1800
ring,5,0.01,2000,1,1,0.09845526814460755,1920
ring,5,0.01,2000,1,1,0.09743571728467942,2040
ring,5,0.01,2000,1,1,0.09645942598581315,2160
ring,5,0.01,2000,1,1,0.09552401155233384,2280
ring,5,0.01,2000,1,1,0.09462724924087525,2400
ring,5,0.01,2000,1,1,0.09376703053712845,2520
ring,5,0.01,2000,1,1,0.09294140040874481,2640
ring,5,0.01,2000,1,1,0.0921484872698784,2760
ring,5,0.01,2000,1,1,0.09138656556606294,2880
ring,5,0.01,2000,1,1,0.09065399169921874,3000
ring,5,0.01,2000,1,1,0.0899492233991623,3120
ring,5,0.01,2000,1,1,0.08927080482244493,3240
ring,5,0.01,2000,1,1,0.08861737996339797,3360
ring,5,0.01,2000,1,1,0.08798766583204269,3480
ring,5,0.01,2000,1,1,0.08738044202327729,3600
ring,5,0.01,2000,1,1,0.08679458945989608,3720
ring,5,0.01,2000,1,1,0.08622902035713195,3840
ring,5,0.01,2000,1,1,0.08568272739648819,3960
ring,5,0.01,2000,1,1,0.0851547494530678,4080
ring,5,0.01,2000,1,1,0.08464420437812806,4200
ring,5,0.01,2000,1,1,0.08415023386478425,4320
ring,5,0.01,2000,1,1,0.0836720421910286,4440
ring,5,0.01,2000,1,1,0.08320887684822083,4560
ring,5,0.01,2000,1,1,0.08276001662015917,4680
ring,5,0.01,2000,1,1,0.08232480436563491,4800
ring,5,0.01,2000,1,1,0.08190258592367172,4920
ring,5,0.01,2000,1,1,0.08149277716875075,5040
ring,5,0.01,2000,1,1,0.08109480589628221,5160
ring,5,0.01,2000,1,1,0.08070814162492754,5280
ring,5,0.01,2000,1,1,0.08033226281404496,5400
ring,5,0.01,2000,1,1,0.079966701567173,5520
ring,5,0.01,2000,1,1,0.07961100488901139,5640
ring,5,0.01,2000,1,1,0.07926473915576936,5760
ring,5,0.01,2000,1,1,0.07892750203609467,5880
ring,5,0.01,2000,1,1,0.07859890013933182,6000
ring,5,0.01,2000,1,1,0.07827857583761216,6120
ring,5,0.01,2000,1,1,0.07796617597341537,6240
ring,5,0.01,2000,1,1,0.07766138166189195,6360
ring,5,0.01,2000,1,1,0.07736387699842454,6480
ring,5,0.01,2000,1,1,0.07707336097955704,6600
ring,5,0.01,2000,1,1,0.07678956240415574,6720
ring,5,0.01,2000,1,1,0.07651221752166748,6840
ring,5,0.01,2000,1,1,0.07624106109142303,6960
