topo,nodes,lr,batch_size,mixing_steps,local_steps,loss,comms
ring,5,0.01,2000,1,1,0.1526415288448334,120
ring,5,0.01,2000,1,1,0.10082981437444687,240
ring,5,0.01,2000,1,1,0.09317594468593599,360
ring,5,0.01,2000,1,1,0.09078920632600784,480
ring,5,0.01,2000,1,1,0.0896765008568764,600
ring,5,0.01,2000,1,1,0.08891780674457551,720
ring,5,0.01,2000,1,1,0.088272961974144,840
ring,5,0.01,2000,1,1,0.08767318576574326,960
ring,5,0.01,2000,1,1,0.08709877282381058,1080
ring,5,0.01,2000,1,1,0.08654358088970185,1200
ring,5,0.01,2000,1,1,0.0860053613781929,1320
ring,5,0.01,2000,1,1,0.08548299670219422,1440
ring,5,0.01,2000,1,1,0.08497572839260101,1560
ring,5,0.01,2000,1,1,0.08448289930820466,1680
ring,5,0.01,2000,1,1,0.08400392979383468,1800
ring,5,0.01,2000,1,1,0.08353826850652696,1920
ring,5,0.01,2000,1,1,0.08308539241552354,2040
ring,5,0.01,2000,1,1,0.08264480084180831,2160
ring,5,0.01,2000,1,1,0.08221601843833923,2280
ring,5,0.01,2000,1,1,0.08179859817028046,2400
ring,5,0.01,2000,1,1,0.08139209002256394,2520
ring,5,0.01,2000,1,1,0.0809960961341858,2640
ring,5,0.01,2000,1,1,0.08061021268367767,2760
ring,5,0.01,2000,1,1,0.08023407310247423,2880
ring,5,0.01,2000,1,1,0.07986730188131332,3000
ring,5,0.01,2000,1,1,0.07950956523418427,3120
ring,5,0.01,2000,1,1,0.07916052490472794,3240
ring,5,0.01,2000,1,1,0.07881987243890763,3360
ring,5,0.01,2000,1,1,0.0784873053431511,3480
ring,5,0.01,2000,1,1,0.07816253304481507,3600
ring,5,0.01,2000,1,1,0.07784527540206909,3720
ring,5,0.01,2000,1,1,0.07753526717424393,3840
ring,5,0.01,2000,1,1,0.07723226845264435,3960
ring,5,0.01,2000,1,1,0.07693601995706557,4080
ring,5,0.01,2000,1,1,0.07664629817008972,4200
ring,5,0.01,2000,1,1,0.07636287063360214,4320
ring,5,0.01,2000,1,1,0.07608553469181062,4440
ring,5,0.01,2000,1,1,0.0758140876889229,4560
ring,5,0.01,2000,1,1,0.07554832100868226,4680
ring,5,0.01,2000,1,1,0.07528804689645767,4800
ring,5,0.01,2000,1,1,0.07503309100866318,4920
ring,5,0.01,2000,1,1,0.07478327751159668,5040
ring,5,0.01,2000,1,1,0.07453844547271729,5160
ring,5,0.01,2000,1,1,0.07429842203855515,5280
ring,5,0.01,2000,1,1,0.07406306713819504,5400
ring,5,0.01,2000,1,1,0.07383222430944443,5520
ring,5,0.01,2000,1,1,0.07360575348138809,5640
ring,5,0.01,2000,1,1,0.07338352054357528,5760
ring,5,0.01,2000,1,1,0.07316539287567139,5880
ring,5,0.01,2000,1,1,0.07295125126838685,6000
ring,5,0.01,2000,1,1,0.07274096757173538,6120
ring,5,0.01,2000,1,1,0.0725344255566597,6240
ring,5,0.01,2000,1,1,0.07233151495456697,6360
ring,5,0.01,2000,1,1,0.0721321314573288,6480
ring,5,0.01,2000,1,1,0.0719361647963524,6600
ring,5,0.01,2000,1,1,0.07174352556467058,6720
ring,5,0.01,2000,1,1,0.07155410796403885,6840
ring,5,0.01,2000,1,1,0.07136782407760621,6960
ring,5,0.01,2000,1,1,0.07118458747863769,7080
