topo,nodes,lr,batch_size,mixing_steps,local_steps,loss,comms
ring,5,0.01,2000,1,1,0.36672162264585495,120
ring,5,0.01,2000,1,1,0.24678709656000142,240
ring,5,0.01,2000,1,1,0.2100222706794739,360
ring,5,0.01,2000,1,1,0.1954702734947205,480
ring,5,0.01,2000,1,1,0.18739404082298278,600
ring,5,0.01,2000,1,1,0.18137316107749943,720
ring,5,0.01,2000,1,1,0.176168629527092,840
ring,5,0.01,2000,1,1,0.17141021490097044,960
ring,5,0.01,2000,1,1,0.16697559356689454,1080
ring,5,0.01,2000,1,1,0.16281452476978303,1200
ring,5,0.01,2000,1,1,0.15889950692653657,1320
ring,5,0.01,2000,1,1,0.15521098375320436,1440
ring,5,0.01,2000,1,1,0.15173287689685822,1560
ring,5,0.01,2000,1,1,0.14845102727413179,1680
ring,5,0.01,2000,1,1,0.14535257518291475,1800
ring,5,0.01,2000,1,1,0.14242567121982574,1920
ring,5,0.01,2000,1,1,0.1396593064069748,2040
ring,5,0.01,2000,1,1,0.13704327940940858,2160
ring,5,0.01,2000,1,1,0.13456802964210512,2280
ring,5,0.01,2000,1,1,0.13222471475601197,2400
ring,5,0.01,2000,1,1,0.13000499606132507,2520
ring,5,0.01,2000,1,1,0.12790113687515262,2640
ring,5,0.01,2000,1,1,0.12590589821338655,2760
ring,5,0.01,2000,1,1,0.12401250600814821,2880
ring,5,0.01,2000,1,1,0.12221465855836869,3000
ring,5,0.01,2000,1,1,0.12050642818212509,3120
ring,5,0.01,2000,1,1,0.11888231039047241,3240
ring,5,0.01,2000,1,1,0.11733714044094086,3360
ring,5,0.01,2000,1,1,0.11586609035730362,3480
ring,5,0.01,2000,1,1,0.11446465402841569,3600
ring,5,0.01,2000,1,1,0.11312861293554306,3720
ring,5,0.01,2000,1,1,0.11185401976108553,3840
ring,5,0.01,2000,1,1,0.11063718795776369,3960
ring,5,0.01,2000,1,1,0.10947466492652895,4080
ring,5,0.01,2000,1,1,0.1083632215857506,4200
ring,5,0.01,2000,1,1,0.1072998344898224,4320
ring,5,0.01,2000,1,1,0.1062816858291626,4440
ring,5,0.01,2000,1,1,0.1053061157464981,4560
ring,5,0.01,2000,1,1,0.10437065660953522,4680
ring,5,0.01,2000,1,1,0.1034729853272438,4800
ring,5,0.01,2000,1,1,0.10261092633008956,4920
ring,5,0.01,2000,1,1,0.10178245157003403,5040
ring,5,0.01,2000,1,1,0.100985649228096,5160
ring,5,0.01,2000,1,1,0.10021874457597733,5280
ring,5,0.01,2000,1,1,0.09948004633188248,5400
ring,5,0.01,2000,1,1,0.0987680032849312,5520
ring,5,0.01,2000,1,1,0.0980811357498169,5640
ring,5,0.01,2000,1,1,0.0974180668592453,5760
ring,5,0.01,2000,1,1,0.0967775121331215,5880
ring,5,0.01,2000,1,1,0.09615824967622758,6000
ring,5,0.01,2000,1,1,0.09555914402008057,6120
ring,5,0.01,2000,1,1,0.09497913122177125,6240
ring,5,0.01,2000,1,1,0.09441720694303514,6360
ring,5,0.01,2000,1,1,0.09387242645025254,6480
ring,5,0.01,2000,1,1,0.09334390908479692,6600
ring,5,0.01,2000,1,1,0.09283082485198975,6720
ring,5,0.01,2000,1,1,0.09233239889144898,6840
ring,5,0.01,2000,1,1,0.09184789061546328,6960
ring,5,0.01,2000,1,1,0.09137662202119827,7080
ring,5,0.01,2000,1,1,0.09091793745756149,7200
ring,5,0.01,2000,1,1,0.09047122299671173,7320
ring,5,0.01,2000,1,1,0.09003591984510423,7440
ring,5,0.01,2000,1,1,0.08961147665977479,7560
ring,5,0.01,2000,1,1,0.08919739723205566,7680
ring,5,0.01,2000,1,1,0.08879318535327911,7800
ring,5,0.01,2000,1,1,0.08839841037988663,7920
ring,5,0.01,2000,1,1,0.08801263570785524,8040
ring,5,0.01,2000,1,1,0.0876354694366455,8160
ring,5,0.01,2000,1,1,0.0872665286064148,8280
ring,5,0.01,2000,1,1,0.08690546154975892,8400
ring,5,0.01,2000,1,1,0.08655193448066711,8520
ring,5,0.01,2000,1,1,0.08620562404394151,8640
ring,5,0.01,2000,1,1,0.08586623668670654,8760
ring,5,0.01,2000,1,1,0.08553349524736405,8880
ring,5,0.01,2000,1,1,0.08520711660385132,9000
ring,5,0.01,2000,1,1,0.08488685637712479,9120
ring,5,0.01,2000,1,1,0.08457248508930207,9240
ring,5,0.01,2000,1,1,0.08426377028226853,9360
ring,5,0.01,2000,1,1,0.08396049439907075,9480
ring,5,0.01,2000,1,1,0.08366246521472932,9600
ring,5,0.01,2000,1,1,0.08336948305368425,9720
ring,5,0.01,2000,1,1,0.08308137506246567,9840
ring,5,0.01,2000,1,1,0.08279795795679093,9960
ring,5,0.01,2000,1,1,0.08251907825469972,10080
ring,5,0.01,2000,1,1,0.08224457949399949,10200
ring,5,0.01,2000,1,1,0.08197431415319444,10320
ring,5,0.01,2000,1,1,0.08170814216136933,10440
ring,5,0.01,2000,1,1,0.08144593089818956,10560
ring,5,0.01,2000,1,1,0.08118755966424943,10680
ring,5,0.01,2000,1,1,0.08093289881944657,10800
ring,5,0.01,2000,1,1,0.08068184703588487,10920
ring,5,0.01,2000,1,1,0.080434288084507,11040
ring,5,0.01,2000,1,1,0.08019011914730073,11160
ring,5,0.01,2000,1,1,0.07994924783706667,11280
ring,5,0.01,2000,1,1,0.07971156984567643,11400
ring,5,0.01,2000,1,1,0.07947700470685959,11520
ring,5,0.01,2000,1,1,0.07924547344446183,11640
ring,5,0.01,2000,1,1,0.0790168821811676,11760
ring,5,0.01,2000,1,1,0.07879115492105485,11880
ring,5,0.01,2000,1,1,0.0785682275891304,12000
ring,5,0.01,2000,1,1,0.07834801673889161,12120
ring,5,0.01,2000,1,1,0.07813045978546143,12240
ring,5,0.01,2000,1,1,0.0779154971241951,12360
ring,5,0.01,2000,1,1,0.07770305126905441,12480
ring,5,0.01,2000,1,1,0.07749309092760087,12600
ring,5,0.01,2000,1,1,0.07728553414344788,12720
ring,5,0.01,2000,1,1,0.07708033323287963,12840
ring,5,0.01,2000,1,1,0.07687743157148362,12960
ring,5,0.01,2000,1,1,0.0766767978668213,13080
ring,5,0.01,2000,1,1,0.07647835612297059,13200
ring,5,0.01,2000,1,1,0.0762820765376091,13320
ring,5,0.01,2000,1,1,0.0760879173874855,13440
ring,5,0.01,2000,1,1,0.07589582800865174,13560
ring,5,0.01,2000,1,1,0.07570577412843704,13680
ring,5,0.01,2000,1,1,0.07551770806312562,13800
ring,5,0.01,2000,1,1,0.07533159255981445,13920
ring,5,0.01,2000,1,1,0.0751473918557167,14040
ring,5,0.01,2000,1,1,0.07496507465839386,14160
ring,5,0.01,2000,1,1,0.07478460222482682,14280
ring,5,0.01,2000,1,1,0.07460594326257705,14400
ring,5,0.01,2000,1,1,0.07442906498908997,14520
ring,5,0.01,2000,1,1,0.07425393909215927,14640
ring,5,0.01,2000,1,1,0.07408053129911424,14760
ring,5,0.01,2000,1,1,0.07390881478786468,14880
ring,5,0.01,2000,1,1,0.07373876869678497,15000
ring,5,0.01,2000,1,1,0.07357035130262375,15120
ring,5,0.01,2000,1,1,0.07340354919433593,15240
ring,5,0.01,2000,1,1,0.07323832362890244,15360
ring,5,0.01,2000,1,1,0.07307466864585876,15480
ring,5,0.01,2000,1,1,0.07291254699230194,15600
ring,5,0.01,2000,1,1,0.07275193929672243,15720
ring,5,0.01,2000,1,1,0.0725928246974945,15840
ring,5,0.01,2000,1,1,0.0724351778626442,15960
ring,5,0.01,2000,1,1,0.07227897346019745,16080
ring,5,0.01,2000,1,1,0.0721242070198059,16200
ring,5,0.01,2000,1,1,0.07197083681821824,16320
ring,5,0.01,2000,1,1,0.0718188613653183,16440
ring,5,0.01,2000,1,1,0.07166825532913208,16560
ring,5,0.01,2000,1,1,0.07151900380849839,16680
ring,5,0.01,2000,1,1,0.07137107700109482,16800
ring,5,0.01,2000,1,1,0.07122447043657303,16920
ring,5,0.01,2000,1,1,0.0710791602730751,17040
ring,5,0.01,2000,1,1,0.0709351345896721,17160
ring,5,0.01,2000,1,1,0.07079237252473831,17280
ring,5,0.01,2000,1,1,0.07065085768699646,17400
ring,5,0.01,2000,1,1,0.0705105796456337,17520
ring,5,0.01,2000,1,1,0.07037152349948883,17640
ring,5,0.01,2000,1,1,0.07023366540670395,17760
ring,5,0.01,2000,1,1,0.07009700238704682,17880
ring,5,0.01,2000,1,1,0.06996151208877564,18000
ring,5,0.01,2000,1,1,0.06982719153165817,18120
ring,5,0.01,2000,1,1,0.06969400942325593,18240
ring,5,0.01,2000,1,1,0.06956197023391723,18360
ring,5,0.01,2000,1,1,0.06943104565143586,18480
ring,5,0.01,2000,1,1,0.06930124312639237,18600
ring,5,0.01,2000,1,1,0.06917252838611604,18720
ring,5,0.01,2000,1,1,0.06904490292072296,18840
ring,5,0.01,2000,1,1,0.06891834884881974,18960
ring,5,0.01,2000,1,1,0.06879285424947738,19080
ring,5,0.01,2000,1,1,0.06866842359304429,19200
ring,5,0.01,2000,1,1,0.06854502111673355,19320
ring,5,0.01,2000,1,1,0.06842264980077745,19440
ring,5,0.01,2000,1,1,0.06830129176378251,19560
ring,5,0.01,2000,1,1,0.06818094700574875,19680
ring,5,0.01,2000,1,1,0.0680615946650505,19800
ring,5,0.01,2000,1,1,0.0679432287812233,19920
ring,5,0.01,2000,1,1,0.06782584190368653,20040
ring,5,0.01,2000,1,1,0.06770942211151124,20160
ring,5,0.01,2000,1,1,0.06759395599365235,20280
ring,5,0.01,2000,1,1,0.06747944205999375,20400
ring,5,0.01,2000,1,1,0.06736585944890977,20520
ring,5,0.01,2000,1,1,0.06725320965051652,20640
ring,5,0.01,2000,1,1,0.06714147925376893,20760
ring,5,0.01,2000,1,1,0.06703065782785415,20880
ring,5,0.01,2000,1,1,0.0669207438826561,21000
ring,5,0.01,2000,1,1,0.06681171655654906,21120
ring,5,0.01,2000,1,1,0.06670357435941696,21240
ring,5,0.01,2000,1,1,0.06659630835056304,21360
ring,5,0.01,2000,1,1,0.06648991554975511,21480
ring,5,0.01,2000,1,1,0.06638437658548356,21600
ring,5,0.01,2000,1,1,0.06627969294786454,21720
ring,5,0.01,2000,1,1,0.0661758527159691,21840
ring,5,0.01,2000,1,1,0.06607284992933274,21960
ring,5,0.01,2000,1,1,0.06597067266702653,22080
ring,5,0.01,2000,1,1,0.06586932390928268,22200
ring,5,0.01,2000,1,1,0.06576877683401108,22320
ring,5,0.01,2000,1,1,0.06566904485225677,22440
ring,5,0.01,2000,1,1,0.06557010859251022,22560
ring,5,0.01,2000,1,1,0.06547196358442307,22680
ring,5,0.01,2000,1,1,0.06537460684776307,22800
ring,5,0.01,2000,1,1,0.06527802348136902,22920
ring,5,0.01,2000,1,1,0.06518221348524093,23040
ring,5,0.01,2000,1,1,0.06508716493844986,23160
ring,5,0.01,2000,1,1,0.06499288082122803,23280
ring,5,0.01,2000,1,1,0.06489933580160141,23400
ring,5,0.01,2000,1,1,0.06480654180049897,23520
ring,5,0.01,2000,1,1,0.06471448093652726,23640
ring,5,0.01,2000,1,1,0.06462315768003464,23760
ring,5,0.01,2000,1,1,0.0645325556397438,23880
ring,5,0.01,2000,1,1,0.06444267183542252,24000
ring,5,0.01,2000,1,1,0.06435350030660629,24120
ring,5,0.01,2000,1,1,0.06426503360271454,24240
ring,5,0.01,2000,1,1,0.06417726874351502,24360
ring,5,0.01,2000,1,1,0.06409019976854324,24480
ring,5,0.01,2000,1,1,0.0640038162469864,24600
ring,5,0.01,2000,1,1,0.06391811817884446,24720
ring,5,0.01,2000,1,1,0.06383309364318848,24840
ring,5,0.01,2000,1,1,0.06374873816967011,24960
ring,5,0.01,2000,1,1,0.06366505622863769,25080
ring,5,0.01,2000,1,1,0.06358202695846558,25200
ring,5,0.01,2000,1,1,0.06349965482950211,25320
ring,5,0.01,2000,1,1,0.06341793090105056,25440
ring,5,0.01,2000,1,1,0.06333685070276261,25560
ring,5,0.01,2000,1,1,0.06325640827417374,25680
ring,5,0.01,2000,1,1,0.06317659765481949,25800
ring,5,0.01,2000,1,1,0.06309741735458374,25920
ring,5,0.01,2000,1,1,0.06301885694265366,26040
ring,5,0.01,2000,1,1,0.062940913438797,26160
ring,5,0.01,2000,1,1,0.0628635823726654,26280
ring,5,0.01,2000,1,1,0.0627868577837944,26400
ring,5,0.01,2000,1,1,0.06271073818206788,26520
ring,5,0.01,2000,1,1,0.06263521313667297,26640
ring,5,0.01,2000,1,1,0.06256028413772582,26760
ring,5,0.01,2000,1,1,0.06248594149947167,26880
ring,5,0.01,2000,1,1,0.062412178516387945,27000
ring,5,0.01,2000,1,1,0.062338991463184355,27120
ring,5,0.01,2000,1,1,0.06226638033986091,27240
ring,5,0.01,2000,1,1,0.06219433844089508,27360
ring,5,0.01,2000,1,1,0.06212285980582238,27480
ring,5,0.01,2000,1,1,0.062051942199468614,27600
ring,5,0.01,2000,1,1,0.06198157742619515,27720
ring,5,0.01,2000,1,1,0.061911766976118096,27840
ring,5,0.01,2000,1,1,0.061842497438192374,27960
ring,5,0.01,2000,1,1,0.06177377328276635,28080
ring,5,0.01,2000,1,1,0.06170558258891106,28200
ring,5,0.01,2000,1,1,0.061637931317090985,28320
ring,5,0.01,2000,1,1,0.061570803821086886,28440
ring,5,0.01,2000,1,1,0.06150419935584069,28560
ring,5,0.01,2000,1,1,0.06143811792135239,28680
ring,5,0.01,2000,1,1,0.06137255355715752,28800
ring,5,0.01,2000,1,1,0.061307498812675484,28920
ring,5,0.01,2000,1,1,0.061242952942848206,29040
ring,5,0.01,2000,1,1,0.061178909987211226,29160
ring,5,0.01,2000,1,1,0.06111536920070648,29280
ring,5,0.01,2000,1,1,0.06105232387781143,29400
ring,5,0.01,2000,1,1,0.06098976880311966,29520
ring,5,0.01,2000,1,1,0.060927700251340866,29640
ring,5,0.01,2000,1,1,0.06086611971259118,29760
ring,5,0.01,2000,1,1,0.060805018991231925,29880
ring,5,0.01,2000,1,1,0.060744389891624444,30000
ring,5,0.01,2000,1,1,0.06068423911929131,30120
ring,5,0.01,2000,1,1,0.06062455251812935,30240
ring,5,0.01,2000,1,1,0.06056533455848694,30360
ring,5,0.01,2000,1,1,0.060506579279899594,30480
ring,5,0.01,2000,1,1,0.06044828295707702,30600
ring,5,0.01,2000,1,1,0.06039043664932251,30720
ring,5,0.01,2000,1,1,0.06033304259181023,30840
ring,5,0.01,2000,1,1,0.06027609631419181,30960
ring,5,0.01,2000,1,1,0.06021959334611893,31080
ring,5,0.01,2000,1,1,0.06016353145241738,31200
ring,5,0.01,2000,1,1,0.060107906162738804,31320
ring,5,0.01,2000,1,1,0.06005271300673485,31440
ring,5,0.01,2000,1,1,0.05999795272946358,31560
ring,5,0.01,2000,1,1,0.05994361713528633,31680
ring,5,0.01,2000,1,1,0.05988970398902894,31800
ring,5,0.01,2000,1,1,0.0598362110555172,31920
ring,5,0.01,2000,1,1,0.0597831353545189,32040
ring,5,0.01,2000,1,1,0.05973047241568566,32160
ring,5,0.01,2000,1,1,0.05967822000384331,32280
ring,5,0.01,2000,1,1,0.05962637662887574,32400
ring,5,0.01,2000,1,1,0.059574934840202334,32520
ring,5,0.01,2000,1,1,0.05952389389276505,32640
ring,5,0.01,2000,1,1,0.05947324857115746,32760
ring,5,0.01,2000,1,1,0.05942300036549569,32880
ring,5,0.01,2000,1,1,0.059373140335083015,33000
ring,5,0.01,2000,1,1,0.05932367369532585,33120
ring,5,0.01,2000,1,1,0.05927458554506302,33240
ring,5,0.01,2000,1,1,0.059225884824991235,33360
ring,5,0.01,2000,1,1,0.05917756035923958,33480
ring,5,0.01,2000,1,1,0.059129610657691956,33600
ring,5,0.01,2000,1,1,0.059082038700580604,33720
ring,5,0.01,2000,1,1,0.059034837782382964,33840
ring,5,0.01,2000,1,1,0.05898799896240235,33960
ring,5,0.01,2000,1,1,0.058941528946161274,34080
ring,5,0.01,2000,1,1,0.05889541804790498,34200
ring,5,0.01,2000,1,1,0.0588496670126915,34320
ring,5,0.01,2000,1,1,0.05880427435040474,34440
ring,5,0.01,2000,1,1,0.058759232610464104,34560
ring,5,0.01,2000,1,1,0.05871453806757927,34680
