topo,nodes,lr,batch_size,mixing_steps,local_steps,loss,comms
ring,5,0.01,2000,1,1,0.14199941903352736,120
ring,5,0.01,2000,1,1,0.11886590272188188,240
ring,5,0.01,2000,1,1,0.11345006376504899,360
ring,5,0.01,2000,1,1,0.11151635795831681,480
ring,5,0.01,2000,1,1,0.11047356128692627,600
ring,5,0.01,2000,1,1,0.10968226790428162,720
ring,5,0.01,2000,1,1,0.10897069573402404,840
ring,5,0.01,2000,1,1,0.10829188972711563,960
ring,5,0.01,2000,1,1,0.10763274729251862,1080
ring,5,0.01,2000,1,1,0.10698931515216828,1200
ring,5,0.01,2000,1,1,0.10636017024517061,1320
ring,5,0.01,2000,1,1,0.10574454367160797,1440
ring,5,0.01,2000,1,1,0.10514190644025803,1560
ring,5,0.01,2000,1,1,0.10455178767442704,1680
ring,5,0.01,2000,1,1,0.10397374629974365,1800
ring,5,0.01,2000,1,1,0.10340736657381058,1920
ring,5,0.01,2000,1,1,0.10285225063562392,2040
ring,5,0.01,2000,1,1,0.10230803042650223,2160
ring,5,0.01,2000,1,1,0.10177433490753174,2280
ring,5,0.01,2000,1,1,0.10125081241130832,2400
ring,5,0.01,2000,1,1,0.10073714554309846,2520
ring,5,0.01,2000,1,1,0.10023299902677536,2640
ring,5,0.01,2000,1,1,0.09973808079957963,2760
ring,5,0.01,2000,1,1,0.09925209134817123,2880
ring,5,0.01,2000,1,1,0.09877475649118425,3000
ring,5,0.01,2000,1,1,0.09830580800771714,3120
ring,5,0.01,2000,1,1,0.09784497767686844,3240
ring,5,0.01,2000,1,1,0.09739203304052353,3360
ring,5,0.01,2000,1,1,0.09694671630859376,3480
ring,5,0.01,2000,1,1,0.0965088278055191,3600
ring,5,0.01,2000,1,1,0.09607812762260438,3720
ring,5,0.01,2000,1,1,0.0956544116139412,3840
ring,5,0.01,2000,1,1,0.09523748010396958,3960
ring,5,0.01,2000,1,1,0.09482713937759399,4080
ring,5,0.01,2000,1,1,0.09442320466041565,4200
ring,5,0.01,2000,1,1,0.0940254807472229,4320
ring,5,0.01,2000,1,1,0.0936338245868683,4440
ring,5,0.01,2000,1,1,0.09324805289506911,4560
ring,5,0.01,2000,1,1,0.09286800026893616,4680
ring,5,0.01,2000,1,1,0.09249353408813478,4800
ring,5,0.01,2000,1,1,0.09212448298931122,4920
ring,5,0.01,2000,1,1,0.09176072478294374,5040
ring,5,0.01,2000,1,1,0.09140210747718812,5160
ring,5,0.01,2000,1,1,0.0910485103726387,5280
ring,5,0.01,2000,1,1,0.09069980233907701,5400
ring,5,0.01,2000,1,1,0.09035585820674896,5520
ring,5,0.01,2000,1,1,0.09001656472682953,5640
ring,5,0.01,2000,1,1,0.08968181014060973,5760
ring,5,0.01,2000,1,1,0.08935147523880006,5880
ring,5,0.01,2000,1,1,0.08902546018362045,6000
ring,5,0.01,2000,1,1,0.08870366364717483,6120
ring,5,0.01,2000,1,1,0.08838599175214767,6240
ring,5,0.01,2000,1,1,0.0880723312497139,6360
ring,5,0.01,2000,1,1,0.08776261359453202,6480
ring,5,0.01,2000,1,1,0.08745673447847366,6600
ring,5,0.01,2000,1,1,0.08715461790561675,6720
ring,5,0.01,2000,1,1,0.08685617744922638,6840
ring,5,0.01,2000,1,1,0.0865613266825676,6960
ring,5,0.01,2000,1,1,0.08626999408006668,7080
ring,5,0.01,2000,1,1,0.08598211109638215,7200
ring,5,0.01,2000,1,1,0.08569758981466294,7320
ring,5,0.01,2000,1,1,0.0854163780808449,7440
ring,5,0.01,2000,1,1,0.08513839691877366,7560
ring,5,0.01,2000,1,1,0.08486358225345611,7680
ring,5,0.01,2000,1,1,0.08459186702966691,7800
ring,5,0.01,2000,1,1,0.08432320803403855,7920
ring,5,0.01,2000,1,1,0.08405752331018448,8040
ring,5,0.01,2000,1,1,0.08379476666450501,8160
ring,5,0.01,2000,1,1,0.08353487849235536,8280
ring,5,0.01,2000,1,1,0.0832778111100197,8400
ring,5,0.01,2000,1,1,0.08302350789308549,8520
ring,5,0.01,2000,1,1,0.08277190923690797,8640
ring,5,0.01,2000,1,1,0.0825229838490486,8760
ring,5,0.01,2000,1,1,0.08227667212486267,8880
ring,5,0.01,2000,1,1,0.08203292638063431,9000
ring,5,0.01,2000,1,1,0.08179170936346056,9120
ring,5,0.01,2000,1,1,0.08155297338962555,9240
ring,5,0.01,2000,1,1,0.08131667226552963,9360
ring,5,0.01,2000,1,1,0.08108277469873429,9480
ring,5,0.01,2000,1,1,0.08085123151540757,9600
ring,5,0.01,2000,1,1,0.08062200397253036,9720
ring,5,0.01,2000,1,1,0.08039505630731582,9840
ring,5,0.01,2000,1,1,0.08017035871744156,9960
ring,5,0.01,2000,1,1,0.07994786351919174,10080
