topo,nodes,lr,batch_size,mixing_steps,local_steps,loss,comms
ring,5,0.01,2000,1,1,0.11901445686817169,120
ring,5,0.01,2000,1,1,0.09980894774198533,240
ring,5,0.01,2000,1,1,0.09625027924776078,360
ring,5,0.01,2000,1,1,0.09498252719640733,480
ring,5,0.01,2000,1,1,0.09429083615541457,600
ring,5,0.01,2000,1,1,0.0937638595700264,720
ring,5,0.01,2000,1,1,0.0932910829782486,840
ring,5,0.01,2000,1,1,0.092841674387455,960
ring,5,0.01,2000,1,1,0.09240667670965196,1080
ring,5,0.01,2000,1,1,0.09198322892189026,1200
ring,5,0.01,2000,1,1,0.09157017469406128,1320
ring,5,0.01,2000,1,1,0.0911668509244919,1440
ring,5,0.01,2000,1,1,0.09077273309230804,1560
ring,5,0.01,2000,1,1,0.09038737416267395,1680
ring,5,0.01,2000,1,1,0.09001035243272781,1800
ring,5,0.01,2000,1,1,0.08964128345251085,1920
ring,5,0.01,2000,1,1,0.08927977830171585,2040
ring,5,0.01,2000,1,1,0.08892550766468048,2160
ring,5,0.01,2000,1,1,0.08857814818620682,2280
ring,5,0.01,2000,1,1,0.08823738396167756,2400
ring,5,0.01,2000,1,1,0.08790292888879778,2520
ring,5,0.01,2000,1,1,0.08757451325654984,2640
ring,5,0.01,2000,1,1,0.08725188374519349,2760
ring,5,0.01,2000,1,1,0.08693480491638184,2880
ring,5,0.01,2000,1,1,0.08662304282188416,3000
ring,5,0.01,2000,1,1,0.08631639182567598,3120
ring,5,0.01,2000,1,1,0.08601464927196503,3240
ring,5,0.01,2000,1,1,0.08571762740612031,3360
ring,5,0.01,2000,1,1,0.0854251503944397,3480
ring,5,0.01,2000,1,1,0.08513704985380172,3600
ring,5,0.01,2000,1,1,0.08485316932201387,3720
ring,5,0.01,2000,1,1,0.08457335978746415,3840
ring,5,0.01,2000,1,1,0.08429748415946961,3960
ring,5,0.01,2000,1,1,0.0840254008769989,4080
ring,5,0.01,2000,1,1,0.08375699669122696,4200
