topo,nodes,lr,batch_size,mixing_steps,local_steps,loss
fc,1,0.1618,2000,1,1,0.06774356216192245
fc,1,0.1618,2000,1,1,0.0660085678100586
fc,1,0.1618,2000,1,1,0.06452647596597672
fc,1,0.1618,2000,1,1,0.06324467808008194
fc,1,0.1618,2000,1,1,0.06212573125958443
fc,1,0.1618,2000,1,1,0.06114218011498451
fc,1,0.1618,2000,1,1,0.060273293405771255
fc,1,0.1618,2000,1,1,0.05950289964675903
fc,1,0.1618,2000,1,1,0.05881805345416069
fc,1,0.1618,2000,1,1,0.05820813030004501
fc,1,0.1618,2000,1,1,0.057664211839437485
fc,1,0.1618,2000,1,1,0.057178694754838943
fc,1,0.1618,2000,1,1,0.05674503743648529
fc,1,0.1618,2000,1,1,0.05635751411318779
fc,1,0.1618,2000,1,1,0.05601109564304352
fc,1,0.1618,2000,1,1,0.0557013601064682
fc,1,0.1618,2000,1,1,0.05542437359690666
fc,1,0.1618,2000,1,1,0.05517663434147835
fc,1,0.1618,2000,1,1,0.05495505407452583
fc,1,0.1618,2000,1,1,0.054756853729486465
fc,1,0.1618,2000,1,1,0.05457955598831177
fc,1,0.1618,2000,1,1,0.05442095547914505
fc,1,0.1618,2000,1,1,0.05427907034754753
fc,1,0.1618,2000,1,1,0.05415213853120804
fc,1,0.1618,2000,1,1,0.05403859540820122
fc,1,0.1618,2000,1,1,0.05393701791763306
fc,1,0.1618,2000,1,1,0.053846146911382675
fc,1,0.1618,2000,1,1,0.05376484990119934
fc,1,0.1618,2000,1,1,0.05369211733341217
fc,1,0.1618,2000,1,1,0.05362705513834953
fc,1,0.1618,2000,1,1,0.053568847477436066
fc,1,0.1618,2000,1,1,0.05351677164435387
fc,1,0.1618,2000,1,1,0.0534701868891716
fc,1,0.1618,2000,1,1,0.053428515791893005
fc,1,0.1618,2000,1,1,0.0533912293612957
fc,1,0.1618,2000,1,1,0.05335787311196327
fc,1,0.1618,2000,1,1,0.05332803353667259
fc,1,0.1618,2000,1,1,0.05330134183168411
fc,1,0.1618,2000,1,1,0.05327746272087097
fc,1,0.1618,2000,1,1,0.053256094455718994
fc,1,0.1618,2000,1,1,0.053236983716487885
fc,1,0.1618,2000,1,1,0.053219884634017944
fc,1,0.1618,2000,1,1,0.05320458486676216
fc,1,0.1618,2000,1,1,0.05319090187549591
fc,1,0.1618,2000,1,1,0.053178656846284866
fc,1,0.1618,2000,1,1,0.05316770449280739
fc,1,0.1618,2000,1,1,0.053157906979322433
fc,1,0.1618,2000,1,1,0.05314914137125015
fc,1,0.1618,2000,1,1,0.05314129963517189
fc,1,0.1618,2000,1,1,0.053134284913539886
fc,1,0.1618,2000,1,1,0.053128015249967575
fc,1,0.1618,2000,1,1,0.053122393786907196
fc,1,0.1618,2000,1,1,0.05311737209558487
fc,1,0.1618,2000,1,1,0.053112875670194626
fc,1,0.1618,2000,1,1,0.053108856081962585
fc,1,0.1618,2000,1,1,0.05310525745153427
fc,1,0.1618,2000,1,1,0.0531020425260067
fc,1,0.1618,2000,1,1,0.053099166601896286
fc,1,0.1618,2000,1,1,0.05309658870100975
fc,1,0.1618,2000,1,1,0.053094279021024704
fc,1,0.1618,2000,1,1,0.05309222266077995
fc,1,0.1618,2000,1,1,0.053090378642082214
fc,1,0.1618,2000,1,1,0.053088728338479996
fc,1,0.1618,2000,1,1,0.0530872568488121
fc,1,0.1618,2000,1,1,0.05308593064546585
fc,1,0.1618,2000,1,1,0.05308474972844124
fc,1,0.1618,2000,1,1,0.053083695471286774
fc,1,0.1618,2000,1,1,0.05308275669813156
fc,1,0.1618,2000,1,1,0.05308190733194351
fc,1,0.1618,2000,1,1,0.053081151098012924
fc,1,0.1618,2000,1,1,0.053080473095178604
fc,1,0.1618,2000,1,1,0.05307986959815025
fc,1,0.1618,2000,1,1,0.05307932570576668
fc,1,0.1618,2000,1,1,0.05307884141802788
fc,1,0.1618,2000,1,1,0.05307840555906296
fc,1,0.1618,2000,1,1,0.053078021854162216
fc,1,0.1618,2000,1,1,0.05307767540216446
fc,1,0.1618,2000,1,1,0.05307736247777939
fc,1,0.1618,2000,1,1,0.0530770868062973
fc,1,0.1618,2000,1,1,0.053076837211847305
fc,1,0.1618,2000,1,1,0.0530766136944294
fc,1,0.1618,2000,1,1,0.053076423704624176
fc,1,0.1618,2000,1,1,0.05307624116539955
fc,1,0.1618,2000,1,1,0.05307608097791672
fc,1,0.1618,2000,1,1,0.053075939416885376
fc,1,0.1618,2000,1,1,0.05307580530643463
fc,1,0.1618,2000,1,1,0.053075697273015976
fc,1,0.1618,2000,1,1,0.05307559296488762
fc,1,0.1618,2000,1,1,0.053075503557920456
fc,1,0.1618,2000,1,1,0.05307541787624359
fc,1,0.1618,2000,1,1,0.05307534709572792
fc,1,0.1618,2000,1,1,0.053075287491083145
fc,1,0.1618,2000,1,1,0.05307522416114807
fc,1,0.1618,2000,1,1,0.05307517200708389
fc,1,0.1618,2000,1,1,0.05307512357831001
fc,1,0.1618,2000,1,1,0.05307508632540703
fc,1,0.1618,2000,1,1,0.053075045347213745
fc,1,0.1618,2000,1,1,0.05307501181960106
fc,1,0.1618,2000,1,1,0.05307497829198837
fc,1,0.1618,2000,1,1,0.053074952214956284
