topo,nodes,lr,batch_size,mixing_steps,local_steps,loss
fc,1,0.281095,2000,1,1,0.18500949442386627
fc,1,0.281095,2000,1,1,0.15690873563289642
fc,1,0.281095,2000,1,1,0.13530713319778442
fc,1,0.281095,2000,1,1,0.11831026524305344
fc,1,0.281095,2000,1,1,0.10485020279884338
fc,1,0.281095,2000,1,1,0.09417244046926498
fc,1,0.281095,2000,1,1,0.08569784462451935
fc,1,0.281095,2000,1,1,0.0789709985256195
fc,1,0.281095,2000,1,1,0.07363127171993256
fc,1,0.281095,2000,1,1,0.06939258426427841
fc,1,0.281095,2000,1,1,0.06602790951728821
fc,1,0.281095,2000,1,1,0.06335701048374176
fc,1,0.281095,2000,1,1,0.06123683974146843
fc,1,0.281095,2000,1,1,0.0595538467168808
fc,1,0.281095,2000,1,1,0.05821787193417549
fc,1,0.281095,2000,1,1,0.057157374918460846
fc,1,0.281095,2000,1,1,0.056315552443265915
fc,1,0.281095,2000,1,1,0.05564730986952782
fc,1,0.281095,2000,1,1,0.05511684715747833
fc,1,0.281095,2000,1,1,0.05469577759504318
fc,1,0.281095,2000,1,1,0.05436151847243309
fc,1,0.281095,2000,1,1,0.05409618839621544
fc,1,0.281095,2000,1,1,0.053885567933321
fc,1,0.281095,2000,1,1,0.05371837317943573
fc,1,0.281095,2000,1,1,0.05358566343784332
fc,1,0.281095,2000,1,1,0.05348030477762222
fc,1,0.281095,2000,1,1,0.05339668318629265
fc,1,0.281095,2000,1,1,0.05333029851317406
fc,1,0.281095,2000,1,1,0.053277596831321716
fc,1,0.281095,2000,1,1,0.05323576182126999
fc,1,0.281095,2000,1,1,0.053202565759420395
fc,1,0.281095,2000,1,1,0.05317620187997818
fc,1,0.281095,2000,1,1,0.05315527692437172
fc,1,0.281095,2000,1,1,0.053138669580221176
fc,1,0.281095,2000,1,1,0.05312548950314522
fc,1,0.281095,2000,1,1,0.05311502143740654
fc,1,0.281095,2000,1,1,0.05310671404004097
fc,1,0.281095,2000,1,1,0.053100112825632095
fc,1,0.281095,2000,1,1,0.053094878792762756
fc,1,0.281095,2000,1,1,0.05309072509407997
fc,1,0.281095,2000,1,1,0.05308743193745613
fc,1,0.281095,2000,1,1,0.05308481305837631
fc,1,0.281095,2000,1,1,0.05308273062109947
fc,1,0.281095,2000,1,1,0.05308108031749725
fc,1,0.281095,2000,1,1,0.05307977274060249
fc,1,0.281095,2000,1,1,0.053078725934028625
fc,1,0.281095,2000,1,1,0.053077906370162964
fc,1,0.281095,2000,1,1,0.053077250719070435
fc,1,0.281095,2000,1,1,0.05307672917842865
fc,1,0.281095,2000,1,1,0.05307631939649582
fc,1,0.281095,2000,1,1,0.053075991570949554
fc,1,0.281095,2000,1,1,0.05307573452591896
fc,1,0.281095,2000,1,1,0.05307552218437195
fc,1,0.281095,2000,1,1,0.053075358271598816
fc,1,0.281095,2000,1,1,0.05307523161172867
fc,1,0.281095,2000,1,1,0.05307512730360031
fc,1,0.281095,2000,1,1,0.05307504162192345
fc,1,0.281095,2000,1,1,0.05307498201727867
fc,1,0.281095,2000,1,1,0.05307492986321449
fc,1,0.281095,2000,1,1,0.05307488888502121
fc,1,0.281095,2000,1,1,0.053074855357408524
fc,1,0.281095,2000,1,1,0.053074829280376434
fc,1,0.281095,2000,1,1,0.053074806928634644
fc,1,0.281095,2000,1,1,0.05307479202747345
fc,1,0.281095,2000,1,1,0.053074780851602554
fc,1,0.281095,2000,1,1,0.05307477340102196
fc,1,0.281095,2000,1,1,0.05307476595044136
fc,1,0.281095,2000,1,1,0.05307475104928017
fc,1,0.281095,2000,1,1,0.05307474732398987
fc,1,0.281095,2000,1,1,0.05307474359869957
fc,1,0.281095,2000,1,1,0.05307473614811897
