topo,nodes,lr,batch_size,mixing_steps,local_steps,loss
fc,1,0.001,2000,1,1,0.2775629162788391
fc,1,0.001,2000,1,1,0.27676787972450256
fc,1,0.001,2000,1,1,0.2759757936000824
fc,1,0.001,2000,1,1,0.2751867175102234
fc,1,0.001,2000,1,1,0.2744005620479584
fc,1,0.001,2000,1,1,0.2736174762248993
fc,1,0.001,2000,1,1,0.27283722162246704
fc,1,0.001,2000,1,1,0.27205997705459595
fc,1,0.001,2000,1,1,0.27128565311431885
fc,1,0.001,2000,1,1,0.27051421999931335
fc,1,0.001,2000,1,1,0.26974573731422424
fc,1,0.001,2000,1,1,0.26898014545440674
fc,1,0.001,2000,1,1,0.26821738481521606
fc,1,0.001,2000,1,1,0.267457515001297
fc,1,0.001,2000,1,1,0.26670053601264954
fc,1,0.001,2000,1,1,0.2659464180469513
fc,1,0.001,2000,1,1,0.2651951313018799
fc,1,0.001,2000,1,1,0.2644466459751129
fc,1,0.001,2000,1,1,0.2637009918689728
fc,1,0.001,2000,1,1,0.2629581689834595
fc,1,0.001,2000,1,1,0.26221808791160583
fc,1,0.001,2000,1,1,0.26148080825805664
fc,1,0.001,2000,1,1,0.2607463300228119
fc,1,0.001,2000,1,1,0.2600146532058716
fc,1,0.001,2000,1,1,0.2592856287956238
fc,1,0.001,2000,1,1,0.2585594058036804
fc,1,0.001,2000,1,1,0.25783589482307434
fc,1,0.001,2000,1,1,0.2571151852607727
fc,1,0.001,2000,1,1,0.2563970983028412
fc,1,0.001,2000,1,1,0.25568175315856934
fc,1,0.001,2000,1,1,0.2549690902233124
fc,1,0.001,2000,1,1,0.2542591392993927
fc,1,0.001,2000,1,1,0.25355178117752075
fc,1,0.001,2000,1,1,0.25284719467163086
fc,1,0.001,2000,1,1,0.2521451711654663
fc,1,0.001,2000,1,1,0.25144582986831665
fc,1,0.001,2000,1,1,0.2507491111755371
fc,1,0.001,2000,1,1,0.2500550150871277
